customerID,Contract,tenure,MonthlyCharges,TotalCharges,InternetService,PaymentMethod,TechSupport,OnlineSecurity,Churn,ChurnRiskScore,RiskTier
5299-SJCZT,Month-to-month,3,101.55,298.35,Fiber optic,Bank transfer (automatic),No,No,Yes,0.9365910734057072,High
8593-WHYHV,Month-to-month,3,85.3,264.8,Fiber optic,Electronic check,No,No,Yes,0.9365024908984477,High
7398-SKNQZ,Month-to-month,3,94.9,273.2,Fiber optic,Electronic check,No,No,No,0.9362739927812289,High
0723-DRCLG,Month-to-month,1,74.45,74.45,Fiber optic,Electronic check,No,No,Yes,0.9356805119276008,High
6230-BSUXY,Month-to-month,1,85.0,85.0,Fiber optic,Electronic check,No,No,Yes,0.9356507944692477,High
1833-VGRUM,Month-to-month,1,74.2,74.2,Fiber optic,Electronic check,No,No,Yes,0.9353495418845958,High
6567-HOOPW,Month-to-month,1,79.2,79.2,Fiber optic,Electronic check,No,No,Yes,0.9352317729429903,High
7488-MXJIV,Month-to-month,4,85.65,321.65,Fiber optic,Electronic check,No,No,Yes,0.9351017088750324,High
9248-OJYKK,Month-to-month,1,76.45,76.45,Fiber optic,Electronic check,No,No,Yes,0.9350191583743777,High
0697-ZMSWS,Month-to-month,4,85.65,338.9,Fiber optic,Electronic check,No,No,Yes,0.9349861255814493,High
0021-IKXGC,Month-to-month,1,72.1,72.1,Fiber optic,Electronic check,No,No,No,0.9349712095621593,High
4102-OQUPX,Month-to-month,1,74.4,74.4,Fiber optic,Electronic check,No,No,Yes,0.9349372445455805,High
6894-LFHLY,Month-to-month,1,75.75,75.75,Fiber optic,Electronic check,No,No,Yes,0.9348926772975105,High
4988-IQIGL,Month-to-month,1,75.35,75.35,Fiber optic,Electronic check,No,No,Yes,0.9348202995972634,High
6513-EECDB,Month-to-month,1,73.55,73.55,Fiber optic,Electronic check,No,No,Yes,0.9347834504608749,High
5240-IJOQT,Month-to-month,1,74.7,74.7,Fiber optic,Electronic check,No,No,Yes,0.9347025261770322,High
3551-HUAZH,Month-to-month,1,74.4,74.4,Fiber optic,Electronic check,No,No,Yes,0.9346481024787164,High
8473-VUVJN,Month-to-month,1,73.65,73.65,Fiber optic,Electronic check,No,No,Yes,0.9345118586067886,High
8580-AECUZ,Month-to-month,1,79.1,79.1,Fiber optic,Electronic check,No,No,Yes,0.9344745871390286,High
7228-OMTPN,Month-to-month,4,88.45,370.65,Fiber optic,Electronic check,No,No,Yes,0.9344685941354604,High
4713-LZDRV,Month-to-month,2,79.6,195.05,Fiber optic,Electronic check,No,No,Yes,0.9343270842064832,High
3387-VATUS,Month-to-month,5,94.85,462.8,Fiber optic,Bank transfer (automatic),No,No,Yes,0.9334380433350717,High
4548-SDBKE,Month-to-month,5,85.2,474.8,Fiber optic,Electronic check,No,No,Yes,0.9334066698748175,High
1304-NECVQ,Month-to-month,2,78.55,149.55,Fiber optic,Electronic check,No,No,Yes,0.9332713926818587,High
8739-XNIKG,Month-to-month,5,84.0,424.75,Fiber optic,Electronic check,No,No,No,0.9331847057640248,High
4192-GORJT,Month-to-month,5,94.45,498.1,Fiber optic,Electronic check,No,No,Yes,0.9329699299728085,High
2462-XIIJB,Month-to-month,5,92.5,452.7,Fiber optic,Electronic check,No,No,Yes,0.932721341259806,High
4086-YQSNZ,Month-to-month,3,80.4,224.05,Fiber optic,Electronic check,No,No,Yes,0.9325016207104297,High
2672-HUYVI,Month-to-month,6,91.1,455.3,Fiber optic,Electronic check,No,No,Yes,0.9324493412981331,High
9025-AOMKI,Month-to-month,6,93.55,536.4,Fiber optic,Bank transfer (automatic),No,No,Yes,0.932311719382859,High
2990-HWIML,Month-to-month,6,89.5,573.3,Fiber optic,Electronic check,No,No,Yes,0.932149289341098,High
4140-MUHUG,Month-to-month,3,86.85,220.95,Fiber optic,Electronic check,No,No,Yes,0.9321162504068039,High
4273-MBHYA,Month-to-month,1,89.35,89.35,Fiber optic,Electronic check,No,No,No,0.931904312430439,High
8258-GSTJK,Month-to-month,3,77.0,237.75,Fiber optic,Electronic check,No,No,Yes,0.9318580733639772,High
7576-OYWBN,Month-to-month,3,76.05,231.8,Fiber optic,Electronic check,No,No,Yes,0.9316786223442326,High
1941-HOSAM,Month-to-month,1,90.1,90.1,Fiber optic,Electronic check,No,No,No,0.9315758912227428,High
9725-SCPZG,Month-to-month,1,90.85,90.85,Fiber optic,Electronic check,No,No,Yes,0.9314153969881196,High
6161-UUUTA,Month-to-month,3,79.9,260.9,Fiber optic,Electronic check,No,No,Yes,0.9313364735247598,High
7181-BQYBV,Month-to-month,1,102.45,102.45,Fiber optic,Electronic check,No,Yes,Yes,0.9311810704135326,High
3727-RJMEO,Month-to-month,6,82.85,460.25,Fiber optic,Electronic check,No,No,Yes,0.9308359382308978,High
0722-TROQR,Month-to-month,4,74.9,321.75,Fiber optic,Electronic check,No,No,Yes,0.9305535491499585,High
3006-XIMLN,Month-to-month,2,94.2,193.8,Fiber optic,Bank transfer (automatic),No,No,Yes,0.9305393405269422,High
1197-BVMVG,Month-to-month,4,74.45,294.45,Fiber optic,Electronic check,No,No,No,0.9304670956317257,High
9231-ZJYAM,Month-to-month,4,78.85,292.8,Fiber optic,Electronic check,No,No,Yes,0.9302254753230116,High
1389-CXMLU,Month-to-month,3,91.05,289.1,Fiber optic,Electronic check,No,No,Yes,0.9300571278484567,High
4929-XIHVW,Month-to-month,2,95.5,181.65,Fiber optic,Credit card (automatic),No,No,No,0.9299185203291627,High
9944-HKVVB,Month-to-month,3,95.1,307.4,Fiber optic,Electronic check,No,No,Yes,0.929719096584108,High
3178-FESZO,Month-to-month,1,100.25,100.25,Fiber optic,Credit card (automatic),No,No,Yes,0.9294310584275518,High
5956-VKDTT,Month-to-month,5,74.35,334.8,Fiber optic,Electronic check,No,No,Yes,0.9290424486346542,High
5052-PNLOS,Month-to-month,3,105.35,323.25,Fiber optic,Bank transfer (automatic),No,No,Yes,0.9289527001539336,High
4844-JJWUY,Month-to-month,1,86.0,86.0,Fiber optic,Electronic check,No,No,Yes,0.9287202521104695,High
6892-EZDTG,Month-to-month,4,91.65,365.4,Fiber optic,Electronic check,No,No,Yes,0.9280546603851335,High
4951-UKAAQ,Month-to-month,4,88.95,355.2,Fiber optic,Electronic check,No,No,Yes,0.9278853510150302,High
5380-AFSSK,Month-to-month,5,93.9,486.85,Fiber optic,Mailed check,No,No,Yes,0.9277456886936706,High
3097-NQYSN,Month-to-month,2,86.85,156.35,Fiber optic,Mailed check,No,No,Yes,0.9277148049642825,High
4952-YSOGZ,Month-to-month,4,85.95,381.3,Fiber optic,Electronic check,No,No,Yes,0.9275048435252984,High
4228-ZGYUW,Month-to-month,4,90.05,368.1,Fiber optic,Electronic check,No,No,Yes,0.9272897388417416,High
7548-SEPYI,Month-to-month,5,96.25,512.45,Fiber optic,Electronic check,No,No,Yes,0.9264420782922042,High
9957-YODKZ,Month-to-month,6,80.8,457.1,Fiber optic,Electronic check,No,No,No,0.9263762990793605,High
6229-LSCKB,Month-to-month,6,79.7,497.6,Fiber optic,Electronic check,No,No,No,0.9260834067570797,High
7330-WZLNC,Month-to-month,5,90.8,455.5,Fiber optic,Electronic check,No,No,Yes,0.925783542844529,High
5644-PDMZC,Month-to-month,2,89.5,161.5,Fiber optic,Electronic check,No,No,Yes,0.9254560077801044,High
0880-TKATG,Month-to-month,4,101.15,385.9,Fiber optic,Electronic check,No,No,Yes,0.9249953622864499,High
8622-ZLFKO,Month-to-month,6,90.75,512.25,Fiber optic,Electronic check,No,No,No,0.9249941821953643,High
6015-VVHHE,Month-to-month,5,83.15,446.05,Fiber optic,Credit card (automatic),No,No,Yes,0.9244532903933524,High
7074-IEVOJ,Month-to-month,3,79.4,205.05,Fiber optic,Electronic check,No,No,Yes,0.924256273653893,High
8780-IXSTS,Month-to-month,6,90.1,521.3,Fiber optic,Electronic check,No,No,Yes,0.9238126802096196,High
0334-GDDSO,Month-to-month,3,81.35,233.7,Fiber optic,Electronic check,No,No,Yes,0.9238111005851526,High
6734-GMPVK,Month-to-month,5,105.3,550.6,Fiber optic,Electronic check,No,No,No,0.9237953389506791,High
3462-BJQQA,Month-to-month,6,89.75,552.65,Fiber optic,Electronic check,No,No,No,0.9237394559842788,High
1393-IMKZG,Month-to-month,1,95.85,95.85,Fiber optic,Electronic check,Yes,No,No,0.9225351128100068,High
4795-KTRTH,Month-to-month,5,81.0,371.65,Fiber optic,Electronic check,No,No,Yes,0.9211888307648746,High
2004-OCQXK,Month-to-month,1,81.95,81.95,Fiber optic,Electronic check,No,No,Yes,0.9209164694017649,High
4614-NUVZD,Month-to-month,1,81.1,81.1,Fiber optic,Electronic check,No,No,Yes,0.9207323431918641,High
4395-PZMSN,Month-to-month,5,85.55,408.5,Fiber optic,Electronic check,No,No,No,0.9204649314447774,High
0495-RVCBF,Month-to-month,1,79.7,79.7,Fiber optic,Electronic check,No,No,Yes,0.9204282222896693,High
8242-SOQUO,Month-to-month,5,84.7,392.5,Fiber optic,Electronic check,No,No,No,0.9204193481067465,High
2609-IAICY,Month-to-month,1,77.15,77.15,Fiber optic,Electronic check,No,No,Yes,0.9203544066396433,High
6356-ELRKD,Month-to-month,1,95.6,95.6,Fiber optic,Electronic check,No,Yes,Yes,0.9201318058199446,High
8816-VXNZD,Month-to-month,1,75.1,75.1,Fiber optic,Electronic check,No,No,Yes,0.9199067846122984,High
5494-HECPR,Month-to-month,1,80.25,80.25,Fiber optic,Electronic check,No,No,Yes,0.9197961821343394,High
6457-USBER,Month-to-month,1,80.8,80.8,Fiber optic,Electronic check,No,No,Yes,0.9197763449053874,High
4415-IJZTP,Month-to-month,1,74.5,74.5,Fiber optic,Electronic check,No,No,Yes,0.9197753394442267,High
7218-HKQFK,Month-to-month,2,94.2,167.5,Fiber optic,Electronic check,Yes,No,Yes,0.9197345326620776,High
8058-INTPH,Month-to-month,1,79.65,79.65,Fiber optic,Electronic check,No,No,Yes,0.9196645713024958,High
0684-AOSIH,Month-to-month,1,95.0,95.0,Fiber optic,Electronic check,No,Yes,Yes,0.9194549436336489,High
2868-MZAGQ,Month-to-month,1,79.25,79.25,Fiber optic,Electronic check,No,No,Yes,0.9194358703025229,High
5597-GLBUC,Month-to-month,1,85.45,85.45,Fiber optic,Electronic check,No,No,Yes,0.9194208542649452,High
0318-QUUOB,Month-to-month,1,80.55,80.55,Fiber optic,Electronic check,No,No,Yes,0.9193152957737815,High
5797-APWZC,Month-to-month,1,90.6,90.6,Fiber optic,Electronic check,No,No,Yes,0.9191851427154311,High
7294-TMAOP,Month-to-month,1,90.55,90.55,Fiber optic,Electronic check,No,No,Yes,0.9191741065049734,High
5834-ASPWA,Month-to-month,1,75.45,75.45,Fiber optic,Electronic check,No,No,Yes,0.9190854458124625,High
9787-XVQIU,Month-to-month,1,75.3,75.3,Fiber optic,Electronic check,No,No,Yes,0.9190522958051928,High
1452-VOQCH,Month-to-month,1,75.1,75.1,Fiber optic,Electronic check,No,No,No,0.919008076529894,High
1157-BQCUW,Month-to-month,1,74.95,74.95,Fiber optic,Electronic check,No,No,Yes,0.918974897619489,High
6358-LYNGM,Month-to-month,1,74.9,74.9,Fiber optic,Electronic check,No,No,Yes,0.9189638352288375,High
7439-DKZTW,Month-to-month,1,80.55,80.55,Fiber optic,Electronic check,No,No,No,0.9189627465053116,High
9300-RENDD,Month-to-month,1,79.95,79.95,Fiber optic,Electronic check,No,No,Yes,0.9188298887338857,High
1761-AEZZR,Month-to-month,1,79.55,79.55,Fiber optic,Electronic check,No,No,Yes,0.9187412065979248,High
2514-GINMM,Month-to-month,1,79.5,79.5,Fiber optic,Electronic check,No,No,Yes,0.9187301151229544,High
5960-WPXQM,Month-to-month,1,79.05,79.05,Fiber optic,Electronic check,No,No,Yes,0.9186302297319836,High
8740-CRYFY,Month-to-month,1,78.95,78.95,Fiber optic,Electronic check,No,No,Yes,0.918608017788519,High
5868-YWPDW,Month-to-month,6,84.2,519.15,Fiber optic,Electronic check,No,No,Yes,0.9185758719641275,High
9223-UCPVT,Month-to-month,1,94.4,94.4,Fiber optic,Electronic check,No,No,Yes,0.9184963546675032,High
2202-CUYXZ,Month-to-month,1,84.85,84.85,Fiber optic,Electronic check,No,No,Yes,0.9183836532457397,High
5419-CONWX,Month-to-month,4,99.8,442.85,Fiber optic,Credit card (automatic),No,No,Yes,0.9183296360738916,High
8884-ADFVN,Month-to-month,7,101.95,700.85,Fiber optic,Electronic check,No,No,Yes,0.9182743598917859,High
1618-CFHME,Month-to-month,2,75.9,143.35,Fiber optic,Electronic check,No,No,Yes,0.9181293492884345,High
7817-BOQPW,Month-to-month,2,75.55,166.3,Fiber optic,Electronic check,No,No,Yes,0.9180511473144248,High
7760-OYPDY,Month-to-month,2,80.65,144.15,Fiber optic,Electronic check,No,No,Yes,0.9179270196482077,High
9878-TNQGW,Month-to-month,2,80.95,171.15,Fiber optic,Electronic check,No,No,Yes,0.9178507714962773,High
4529-CKBCL,Month-to-month,2,80.2,146.05,Fiber optic,Electronic check,No,No,Yes,0.9178262354909859,High
1981-INRFU,Month-to-month,2,79.75,164.5,Fiber optic,Electronic check,No,No,Yes,0.9177253386654431,High
8086-OVPWV,Month-to-month,2,80.2,181.1,Fiber optic,Electronic check,No,No,Yes,0.9176825932026508,High
6861-XWTWQ,Month-to-month,7,99.25,665.45,Fiber optic,Electronic check,No,No,Yes,0.9176702990996738,High
7120-RFMVS,Month-to-month,1,84.5,84.5,Fiber optic,Electronic check,No,No,Yes,0.9174077287366369,High
0220-EBGCE,Month-to-month,2,85.85,167.3,Fiber optic,Electronic check,No,No,Yes,0.9173996371705057,High
0637-KVDLV,Month-to-month,2,76.5,162.45,Fiber optic,Electronic check,No,No,Yes,0.9173477588510323,High
2235-DWLJU,Month-to-month,6,44.4,263.05,DSL,Electronic check,No,No,No,0.9170892264991293,High
9689-PTNPG,Month-to-month,2,80.25,144.55,Fiber optic,Electronic check,No,No,Yes,0.9169176086578983,High
7938-OUHIO,Month-to-month,3,98.7,293.65,Fiber optic,Electronic check,Yes,No,Yes,0.9168718964999405,High
4234-XTNEA,Month-to-month,2,79.95,174.45,Fiber optic,Electronic check,No,No,No,0.9168496803700594,High
3519-ZKXGG,Month-to-month,3,75.85,256.6,Fiber optic,Electronic check,No,No,Yes,0.9164859796419742,High
4581-SSPWD,Month-to-month,3,75.8,246.3,Fiber optic,Electronic check,No,No,Yes,0.9161107794060108,High
1320-HTRDR,Month-to-month,3,75.5,220.6,Fiber optic,Electronic check,No,No,Yes,0.9160422518557075,High
4090-KPJIP,Month-to-month,3,74.95,212.4,Fiber optic,Electronic check,No,No,No,0.9159164859379515,High
6357-JJPQT,Month-to-month,3,80.5,232.35,Fiber optic,Electronic check,No,No,No,0.915892474835861,High
9306-CPCBC,Month-to-month,3,74.25,210.3,Fiber optic,Electronic check,No,No,Yes,0.9157561727786456,High
2789-HQBOU,Month-to-month,3,80.35,253.8,Fiber optic,Electronic check,No,No,No,0.9157113698079649,High
5349-IECLD,Month-to-month,2,94.95,178.1,Fiber optic,Electronic check,No,No,Yes,0.9157016405416007,High
1678-FYZOW,Month-to-month,3,79.4,244.65,Fiber optic,Electronic check,No,No,Yes,0.9156403642500532,High
4822-RVYBB,Month-to-month,8,100.6,819.4,Fiber optic,Electronic check,No,No,Yes,0.9156078209007992,High
5835-BEQEU,Month-to-month,3,76.95,228.4,Fiber optic,Electronic check,No,No,Yes,0.9154382829092089,High
0404-SWRVG,Month-to-month,3,74.4,229.55,Fiber optic,Electronic check,No,No,Yes,0.914849928779845,High
3878-AVSOQ,Month-to-month,1,71.25,71.25,Fiber optic,Electronic check,No,No,No,0.914680375621785,High
9488-HGMJH,Month-to-month,1,71.15,71.15,Fiber optic,Electronic check,No,No,Yes,0.914657185633821,High
2506-TNFCO,Month-to-month,1,69.55,69.55,Fiber optic,Electronic check,No,No,Yes,0.9146563761072154,High
8051-HJRLT,Month-to-month,1,70.55,70.55,Fiber optic,Electronic check,No,No,Yes,0.9145179256568888,High
9837-BMCLM,Month-to-month,3,78.5,242.05,Fiber optic,Electronic check,No,No,Yes,0.9144893466769807,High
9605-WGJVW,Month-to-month,1,70.2,70.2,Fiber optic,Electronic check,No,No,No,0.914436595568091,High
1846-XWOQN,Month-to-month,1,70.15,70.15,Fiber optic,Electronic check,No,No,Yes,0.9144249712599117,High
8000-REIQB,Month-to-month,1,69.95,69.95,Fiber optic,Electronic check,No,No,Yes,0.9143784597115872,High
5550-VFRLC,Month-to-month,1,69.85,69.85,Fiber optic,Electronic check,No,No,Yes,0.914355195346155,High
4210-QFJMF,Month-to-month,4,79.15,317.25,Fiber optic,Electronic check,No,No,Yes,0.9143358955970862,High
4871-JTKJF,Month-to-month,1,69.65,69.65,Fiber optic,Electronic check,No,No,Yes,0.914308649427306,High
8375-DKEBR,Month-to-month,1,69.6,69.6,Fiber optic,Electronic check,No,No,Yes,0.9142970093659697,High
2636-ALXXZ,Month-to-month,1,69.6,69.6,Fiber optic,Electronic check,No,No,Yes,0.9142970093659697,High
7206-GZCDC,Month-to-month,1,69.25,69.25,Fiber optic,Electronic check,No,No,Yes,0.9142154888071796,High
4749-OJKQU,Month-to-month,4,75.65,302.35,Fiber optic,Electronic check,No,No,No,0.9140354274760697,High
1363-TXLSL,Month-to-month,1,70.3,70.3,Fiber optic,Electronic check,No,No,Yes,0.9138798244147237,High
8644-XLFBW,Month-to-month,1,71.65,71.65,Fiber optic,Electronic check,No,No,Yes,0.9138221626139428,High
0306-JAELE,Month-to-month,5,96.1,453.4,Fiber optic,Electronic check,Yes,No,Yes,0.9137940520166532,High
9124-LHCJQ,Month-to-month,1,85.45,85.45,Fiber optic,Mailed check,No,No,Yes,0.9135927042965073,High
4806-KEXQR,Month-to-month,4,79.9,324.3,Fiber optic,Electronic check,No,No,Yes,0.9135567034115226,High
0781-LKXBR,Month-to-month,9,100.5,918.6,Fiber optic,Electronic check,No,No,Yes,0.9135329362184106,High
7903-CMPEY,Month-to-month,1,80.3,80.3,Fiber optic,Electronic check,No,Yes,Yes,0.9135037859169814,High
8752-STIVR,Month-to-month,4,79.0,303.15,Fiber optic,Electronic check,No,No,Yes,0.9134957942617833,High
9603-OAIHC,Month-to-month,1,70.05,70.05,Fiber optic,Electronic check,No,No,No,0.9134470511197033,High
5539-TMZLF,Month-to-month,1,69.75,69.75,Fiber optic,Electronic check,No,No,Yes,0.9133765533674927,High
8062-YBDOE,Month-to-month,1,69.65,69.65,Fiber optic,Electronic check,No,No,Yes,0.9133530425690976,High
9317-WZPGV,Month-to-month,2,79.75,159.4,Fiber optic,Bank transfer (automatic),No,No,Yes,0.9133414000951672,High
2959-MJHIC,Month-to-month,4,80.35,307.4,Fiber optic,Electronic check,No,No,Yes,0.9132282403251364,High
7341-LXCAF,Month-to-month,4,74.65,301.4,Fiber optic,Electronic check,No,No,Yes,0.9132176260677027,High
8443-ZRDBZ,Month-to-month,4,76.05,318.9,Fiber optic,Electronic check,No,No,Yes,0.9131713428994869,High
2612-RRIDN,Month-to-month,4,81.0,340.85,Fiber optic,Electronic check,No,No,Yes,0.9130051317926869,High
8083-YTZES,Month-to-month,4,74.35,265.35,Fiber optic,Electronic check,No,No,Yes,0.9127700149913055,High
